emp_id,cbi1,cbi2,cbi3,cbi4,cbi5,cbi6,cbi7,cbi8,cbi9,cbi10,cbi11,cbi12,cbi13,cbi14,cbi15,cbi16,cbi17,cbi18,cbi19
EI0206501ES,1,3,1,2,4,5,1,4,5,4,2,5,3,4,4,4,4,5,1
EI9402945ES,5,4,3,5,1,3,4,2,2,2,4,4,3,3,4,2,2,3,2
EI2402025ES,3,3,5,2,2,3,5,2,3,2,4,3,2,3,2,2,1,2,3
EI9800264ES,2,2,3,3,4,1,3,3,5,2,3,1,1,2,5,2,2,1,4
EI0304351ES,1,2,1,1,2,1,2,5,4,5,2,2,1,1,1,5,1,4,3
EI2503425ES,1,4,3,1,2,2,3,3,4,1,2,5,2,2,4,2,3,1,2
EI1406749ES,4,1,1,2,1,2,3,1,2,2,5,2,4,1,3,5,4,1,2
EI1606216ES,3,4,2,3,2,3,5,1,3,2,1,2,2,5,1,1,4,3,1
EI0006363ES,2,5,3,2,2,1,1,5,3,2,1,4,2,3,2,4,2,1,5
EI9705590ES,3,3,1,3,1,2,2,3,3,2,2,1,3,2,3,1,2,2,2
EI9400133ES,4,2,3,5,2,2,4,3,2,5,2,4,1,3,1,4,4,3,5
EI2606407ES,5,1,2,4,5,2,5,3,3,3,2,3,4,2,2,3,2,2,3
EI1404280ES,3,5,3,4,2,2,5,1,3,2,3,2,3,4,5,1,1,1,3
EI9902399ES,1,1,1,4,2,1,3,3,1,2,1,4,4,1,3,3,4,2,1
EI0605713ES,1,1,2,1,4,5,2,4,1,2,2,1,5,5,1,2,4,4,2
EI1303255ES,1,2,3,4,4,2,2,1,2,3,2,3,2,3,3,1,2,3,1
EI9806027ES,1,5,4,3,4,2,2,1,2,1,1,4,4,5,4,2,3,3,3
EI2502265ES,2,4,4,4,3,1,1,2,2,2,3,1,4,4,1,4,2,5,5
EI9101942ES,2,1,5,1,1,2,2,2,1,2,4,2,2,1,3,1,3,3,1
EI1700764ES,1,5,1,1,1,1,4,2,1,2,2,4,4,4,1,3,2,2,3
EI9203177ES,2,1,5,5,3,1,5,2,3,1,1,1,5,3,4,3,4,1,3
EI1703046ES,4,4,1,2,1,1,2,2,5,2,4,5,3,1,1,3,3,2,1
EI1103065ES,1,2,1,5,1,4,5,1,5,2,1,2,2,2,1,2,5,1,4
EI0100102ES,1,3,3,5,2,2,3,2,2,1,2,3,5,1,2,2,3,2,1
EI0006238ES,2,2,2,2,1,1,1,3,3,2,3,2,1,5,4,2,1,3,1
EI2601372ES,3,5,2,1,2,3,1,2,4,2,2,1,3,2,3,5,5,2,3
EI1900626ES,1,2,2,1,1,4,5,2,3,5,5,3,3,3,3,5,5,5,3
EI2603917ES,2,4,3,1,1,4,3,2,2,4,3,4,2,2,1,4,3,5,3
EI1401076ES,2,5,1,3,3,3,1,4,3,4,1,5,1,2,2,5,2,2,3
EI0303257ES,4,2,2,4,3,4,4,2,4,1,1,1,2,1,3,3,1,3,1
EI0102317ES,2,1,1,4,3,4,2,4,3,5,1,5,5,1,5,2,1,1,5
EI9900562ES,1,2,2,2,3,1,1,2,2,3,1,3,4,1,4,1,2,4,3
EI2105445ES,4,1,1,2,2,3,1,2,1,2,2,1,1,1,3,2,3,3,5
EI0805104ES,5,4,1,2,2,3,3,4,1,4,4,1,2,2,4,3,1,2,2
EI2403008ES,5,4,2,1,2,1,2,2,1,2,2,4,2,2,4,4,2,5,1
EI9301116ES,3,2,4,3,3,2,2,3,2,3,2,1,1,2,4,2,2,4,2
EI0603909ES,1,3,4,2,2,2,5,1,1,3,2,2,3,3,2,1,3,3,2
EI2102154ES,4,2,2,4,4,5,2,5,2,1,2,2,5,1,1,1,4,1,3
EI9606224ES,2,5,2,3,3,4,3,5,3,5,3,2,4,2,4,4,3,2,1
EI2205292ES,2,1,3,5,3,3,1,3,5,4,2,4,5,2,2,5,3,2,2
EI1803510ES,4,1,2,4,3,1,1,3,1,1,5,4,1,4,2,4,3,4,4
EI1101288ES,2,1,4,1,1,1,4,2,4,3,3,2,1,1,3,3,2,3,2
EI0600246ES,4,1,2,2,1,1,1,2,1,2,2,3,4,4,2,2,1,4,2
EI1101796ES,5,1,4,4,1,3,5,5,4,3,1,1,2,3,2,3,2,5,1
EI1005254ES,1,3,3,3,2,2,5,1,3,5,4,1,5,1,1,2,1,2,2
EI0803033ES,2,5,5,1,4,2,3,4,2,2,4,1,1,2,4,5,2,1,1
