id,job_title,department,start_date,location,salary
EI1400001ES,1,1,2014-01-14,1,25306
EI2000002ES,2,2,2020-10-01,2,30434
EI9600003ES,3,3,1996-09-12,1,98380
EI0600004ES,4,1,2006-10-31,1,55529
EI1700005ES,1,1,2017-03-03,1,31382
EI1600006ES,5,4,2016-09-12,2,195315
EI2100007ES,6,5,2021-11-04,2,36036
EI9300008ES,7,6,1993-11-23,2,152574
EI1000009ES,4,1,2010-04-10,1,44916
EI9700010ES,8,3,1997-11-07,2,43677
EI2400011ES,3,3,2024-11-21,1,93244
EI1200012ES,4,1,2012-09-12,2,35817
EI9600013ES,9,7,1996-11-29,3,33116
EI2200014ES,4,1,2022-11-09,2,52158
EI9600015ES,6,5,1996-06-05,1,38219
EI2200016ES,10,4,2022-07-03,2,92395
EI2200017ES,7,6,2022-01-05,2,176676
EI0300018ES,11,5,2003-12-14,1,82885
EI1000019ES,4,1,2010-12-11,1,36511
EI2400020ES,12,8,2024-05-15,1,40239
EI2400021ES,1,1,2024-01-10,1,30114
EI9800022ES,8,3,1998-12-30,2,46309
EI1300023ES,4,1,2013-11-16,2,45457
EI9500024ES,13,9,1995-04-12,1,43934
EI9700025ES,14,7,1997-01-24,2,87933
EI1700026ES,15,1,2017-12-11,1,106675
EI1400027ES,11,5,2014-05-03,2,102958
EI9600028ES,16,2,1996-05-08,2,58080
EI9700029ES,11,5,1997-09-07,2,84668
EI0500030ES,9,7,2005-03-12,3,38856
EI9500031ES,15,1,1995-11-02,2,71900
EI9200032ES,1,1,1992-04-06,2,26735
EI9300033ES,17,7,1993-11-11,3,117948
EI2100034ES,18,9,2021-08-11,1,26883
EI1700035ES,7,6,2017-08-24,3,143306
EI2600036ES,19,7,2026-09-01,2,52985
EI1500037ES,4,1,2015-06-21,1,39318
EI1100038ES,2,2,2011-01-03,2,26593
EI2000039ES,8,3,2020-09-14,2,61116
EI0000040ES,4,1,2000-05-24,1,42333
EI0100041ES,12,8,2001-07-29,2,41909
EI2100042ES,20,6,2021-05-20,2,163593
EI1000043ES,16,2,2010-05-02,1,50974
EI1100044ES,15,1,2011-04-28,2,77398
EI1000045ES,4,1,2010-09-09,2,40596
EI1700046ES,21,8,2017-02-11,1,53831
EI9400047ES,9,7,1994-08-14,2,36646
EI1400048ES,6,5,2014-12-12,1,56281
EI1300049ES,6,5,2013-11-24,2,50105
EI0800050ES,1,1,2008-07-18,1,28908
EI1100051ES,11,5,2011-08-22,1,105153
EI9900052ES,4,1,1999-05-05,2,57742
EI1500053ES,7,6,2015-06-12,3,171598
EI2100054ES,1,1,2021-02-19,1,28869
EI2000055ES,2,2,2020-01-14,2,26276
EI1600056ES,17,7,2016-07-25,3,129064
EI1400057ES,22,9,2014-11-25,1,24599
EI9700058ES,4,1,1997-11-26,2,45093
EI1600059ES,17,7,2016-11-01,3,97126
EI1200060ES,10,4,2012-03-04,1,94029
EI2600061ES,18,9,2026-08-26,1,23138
EI2300062ES,2,2,2023-11-13,1,25003
EI1000063ES,20,6,2010-04-27,2,154816
EI1700064ES,4,1,2017-08-12,2,53937
EI9900065ES,15,1,1999-03-24,2,90748
EI2500066ES,1,1,2025-08-19,2,29989
EI0500067ES,1,1,2005-06-11,1,26462
EI1200068ES,9,7,2012-11-23,2,36622
EI9200069ES,8,3,1992-10-19,1,52098
EI2100070ES,23,8,2021-07-20,2,116702
EI0200071ES,15,1,2002-08-29,1,72043
EI2100072ES,22,9,2021-07-02,1,29459
