emp_id,year,mes,hours_normal,hours_extra,absence,absence_unapprove,lateness,rating
EI1400001ES,2025,2,165,7,0,0,2,2
EI1400001ES,2025,3,165,9,1,0,0,3
EI1400001ES,2025,4,156,11,1,1,0,2
EI1400001ES,2025,5,160,4,0,0,0,3
EI1400001ES,2025,6,153,5,0,0,0,2
EI1400001ES,2025,7,171,7,0,0,1,3
EI1400001ES,2025,8,163,5,2,0,1,3
EI1400001ES,2025,9,152,17,0,0,2,2
EI1400001ES,2025,10,155,1,0,0,1,1
EI1400001ES,2025,11,135,3,0,0,1,2
EI1400001ES,2025,12,169,7,2,0,1,2
EI1400001ES,2026,1,160,1,1,0,0,2
EI2000002ES,2025,2,162,3,1,0,0,2
EI2000002ES,2025,3,170,1,0,0,1,1
EI2000002ES,2025,4,160,6,1,0,1,3
EI2000002ES,2025,5,155,1,1,0,1,3
EI2000002ES,2025,6,158,6,1,0,1,3
EI2000002ES,2025,7,167,5,1,0,1,3
EI2000002ES,2025,8,149,0,1,0,0,3
EI2000002ES,2025,9,172,3,0,0,0,1
EI2000002ES,2025,10,162,3,1,0,2,3
EI2000002ES,2025,11,152,4,0,0,0,2
EI2000002ES,2025,12,169,7,0,0,1,3
EI2000002ES,2026,1,139,4,1,0,2,2
EI9600003ES,2025,2,160,4,1,1,1,3
EI9600003ES,2025,3,163,0,0,0,1,3
EI9600003ES,2025,4,153,10,1,0,1,3
EI9600003ES,2025,5,165,4,1,1,1,3
EI9600003ES,2025,6,167,8,0,0,0,3
EI9600003ES,2025,7,153,5,0,0,0,2
EI9600003ES,2025,8,165,8,0,0,0,3
EI9600003ES,2025,9,153,6,2,1,2,2
EI9600003ES,2025,10,154,14,0,0,2,2
EI9600003ES,2025,11,167,8,1,1,1,2
EI9600003ES,2025,12,150,6,0,0,0,3
EI9600003ES,2026,1,171,21,1,0,1,3
EI0600004ES,2025,2,153,5,2,0,1,3
EI0600004ES,2025,3,156,4,3,0,1,3
EI0600004ES,2025,4,159,3,0,1,1,3
EI0600004ES,2025,5,158,6,1,0,2,2
EI0600004ES,2025,6,154,6,1,0,2,2
EI0600004ES,2025,7,143,4,1,0,0,2
EI0600004ES,2025,8,157,8,0,0,0,1
EI0600004ES,2025,9,159,5,0,0,1,3
EI0600004ES,2025,10,158,5,0,1,0,3
