numero_empleado,cbi_item_1,cbi_item_2,cbi_item_3,cbi_item_4,cbi_item_5,cbi_item_6,cbi_item_7,cbi_item_8,cbi_item_9,cbi_item_10,cbi_item_11,cbi_item_12,cbi_item_13,cbi_item_14,cbi_item_15,cbi_item_16,cbi_item_17,cbi_item_18,cbi_item_19,timestamp_respuesta
EI0206501ES,A menudo,Raramente,A menudo,A veces,Siempre,Nunca,A menudo,Siempre,Nunca,Siempre,A veces,Nunca,Raramente,Siempre,Siempre,Siempre,Siempre,Nunca,A menudo,2026-05-18 14:46:27
EI9402945ES,Nunca,Siempre,Raramente,Nunca,A menudo,Raramente,Siempre,A veces,A veces,A veces,Siempre,Siempre,Raramente,Raramente,Siempre,A veces,A veces,Raramente,A veces,2026-08-01 04:47:30
EI2402025ES,Raramente,Raramente,Nunca,A veces,A veces,Raramente,Nunca,A veces,Raramente,A veces,Siempre,Raramente,A veces,Raramente,A veces,A veces,A menudo,A veces,Raramente,2026-08-27 11:38:02
EI9800264ES,A veces,A veces,Raramente,Raramente,Siempre,A menudo,Raramente,Raramente,Nunca,A veces,Raramente,A menudo,A menudo,A veces,Nunca,A veces,A veces,A menudo,Siempre,2026-11-29 00:39:07
EI0304351ES,A menudo,A veces,A menudo,A menudo,A veces,A menudo,A veces,Nunca,Siempre,Nunca,A veces,A veces,A menudo,A menudo,A menudo,Nunca,A menudo,Siempre,Raramente,2026-02-20 12:56:37
EI2503425ES,A menudo,Siempre,Raramente,A menudo,A veces,A veces,Raramente,Raramente,Siempre,A menudo,A veces,Nunca,A veces,A veces,Siempre,A veces,Raramente,A menudo,A veces,2026-03-29 14:46:22
EI1406749ES,Siempre,A menudo,A menudo,A veces,A menudo,A veces,Raramente,A menudo,A veces,A veces,Nunca,A veces,Siempre,A menudo,Raramente,Nunca,Siempre,A menudo,A veces,2026-12-15 20:47:42
EI1606216ES,Raramente,Siempre,A veces,Raramente,A veces,Raramente,Nunca,A menudo,Raramente,A veces,A menudo,A veces,A veces,Nunca,A menudo,A menudo,Siempre,Raramente,A menudo,2026-08-18 09:12:23
EI0006363ES,A veces,Nunca,Raramente,A veces,A veces,A menudo,A menudo,Nunca,Raramente,A veces,A menudo,Siempre,A veces,Raramente,A veces,Siempre,A veces,A menudo,Nunca,2026-05-22 06:13:08
EI9705590ES,Raramente,Raramente,A menudo,Raramente,A menudo,A veces,A veces,Raramente,Raramente,A veces,A veces,A menudo,Raramente,A veces,Raramente,A menudo,A veces,A veces,A veces,2026-01-27 08:22:01
