numero_empleado,periodo,horas_laborales_normales,horas_extras,ausencias_justificadas,ausencias_no_justificadas,llegadas_tardias,evaluacion_desempeno
EI1400001ES,2025-02,165,7,0,0,2,Exceeds
EI1400001ES,2025-03,165,9,1,0,0,Meets
EI1400001ES,2025-04,156,11,1,1,0,Exceeds
EI1400001ES,2025-05,160,4,0,0,0,Meets
EI1400001ES,2025-06,153,5,0,0,0,Exceeds
EI1400001ES,2025-07,171,7,0,0,1,Meets
EI1400001ES,2025-08,163,5,2,0,1,Meets
EI1400001ES,2025-09,152,17,0,0,2,Exceeds
EI1400001ES,2025-10,155,1,0,0,1,Outstanding
EI1400001ES,2025-11,135,3,0,0,1,Exceeds
EI1400001ES,2025-12,169,7,2,0,1,Exceeds
EI1400001ES,2026-01,160,1,1,0,0,Exceeds
EI2000002ES,2025-02,162,3,1,0,0,Exceeds
EI2000002ES,2025-03,170,1,0,0,1,Outstanding
EI2000002ES,2025-04,160,6,1,0,1,Meets
EI2000002ES,2025-05,155,1,1,0,1,Meets
EI2000002ES,2025-06,158,6,1,0,1,Meets
EI2000002ES,2025-07,167,5,1,0,1,Meets
EI2000002ES,2025-08,149,0,1,0,0,Meets
EI2000002ES,2025-09,172,3,0,0,0,Outstanding
EI2000002ES,2025-10,162,3,1,0,2,Meets
EI2000002ES,2025-11,152,4,0,0,0,Exceeds
EI2000002ES,2025-12,169,7,0,0,1,Meets
EI2000002ES,2026-01,139,4,1,0,2,Exceeds
EI9600003ES,2025-02,160,4,1,1,1,Meets
EI9600003ES,2025-03,163,0,0,0,1,Meets
EI9600003ES,2025-04,153,10,1,0,1,Meets
EI9600003ES,2025-05,165,4,1,1,1,Meets
EI9600003ES,2025-06,167,8,0,0,0,Meets
EI9600003ES,2025-07,153,5,0,0,0,Exceeds
EI9600003ES,2025-08,165,8,0,0,0,Meets
EI9600003ES,2025-09,153,6,2,1,2,Exceeds
EI9600003ES,2025-10,154,14,0,0,2,Exceeds
EI9600003ES,2025-11,167,8,1,1,1,Exceeds
EI9600003ES,2025-12,150,6,0,0,0,Meets
EI9600003ES,2026-01,171,21,1,0,1,Meets
EI0600004ES,2025-02,153,5,2,0,1,Meets
EI0600004ES,2025-03,156,4,3,0,1,Meets
EI0600004ES,2025-04,159,3,0,1,1,Meets
EI0600004ES,2025-05,158,6,1,0,2,Exceeds
EI0600004ES,2025-06,154,6,1,0,2,Exceeds
EI0600004ES,2025-07,143,4,1,0,0,Exceeds
EI0600004ES,2025-08,157,8,0,0,0,Outstanding
EI0600004ES,2025-09,159,5,0,0,1,Meets
EI0600004ES,2025-10,158,5,0,1,0,Meets
EI0600004ES,2025-11,160,4,0,0,1,Meets
EI0600004ES,2025-12,163,12,0,0,0,Meets
EI0600004ES,2026-01,158,4,0,0,0,Meets
EI1700005ES,2025-02,168,11,2,0,3,Needs Improvement
EI1700005ES,2025-03,153,15,0,1,1,Meets
EI1700005ES,2025-04,159,6,1,0,3,Meets
EI1700005ES,2025-05,152,4,0,1,0,Exceeds
EI1700005ES,2025-06,160,6,1,0,4,Meets
EI1700005ES,2025-07,168,6,0,0,1,Meets
EI1700005ES,2025-08,169,4,1,0,1,Outstanding
EI1700005ES,2025-09,166,10,1,0,1,Meets
EI1700005ES,2025-10,148,1,1,0,1,Meets
EI1700005ES,2025-11,157,12,0,0,0,Exceeds
EI1700005ES,2025-12,171,1,0,0,0,Exceeds
EI1700005ES,2026-01,171,4,2,0,0,Meets
EI1600006ES,2025-02,166,3,1,0,1,Outstanding
EI1600006ES,2025-03,150,13,1,0,1,Meets
EI1600006ES,2025-04,157,8,0,0,0,Outstanding
EI1600006ES,2025-05,159,5,0,0,2,Exceeds
EI1600006ES,2025-06,150,3,0,0,0,Outstanding
EI1600006ES,2025-07,166,9,1,0,0,Meets
EI1600006ES,2025-08,160,12,2,2,6,Needs Improvement
EI1600006ES,2025-09,146,3,0,0,1,Meets
EI1600006ES,2025-10,153,4,0,0,0,Outstanding
EI1600006ES,2025-11,148,2,0,0,2,Exceeds
EI1600006ES,2025-12,159,2,1,0,1,Meets
EI1600006ES,2026-01,162,23,0,1,0,Meets
EI2100007ES,2025-02,154,9,0,0,0,Outstanding
EI2100007ES,2025-03,165,5,0,0,4,Meets
EI2100007ES,2025-04,162,4,1,0,2,Exceeds
EI2100007ES,2025-05,150,7,1,0,1,Meets
EI2100007ES,2025-06,169,3,0,0,4,Meets
EI2100007ES,2025-07,158,4,1,0,0,Needs Improvement
EI2100007ES,2025-08,158,1,0,0,2,Exceeds
EI2100007ES,2025-09,154,5,1,0,2,Meets
EI2100007ES,2025-10,158,3,1,0,3,Needs Improvement
EI2100007ES,2025-11,162,8,0,0,1,Outstanding
EI2100007ES,2025-12,150,12,1,0,0,Exceeds
EI2100007ES,2026-01,153,3,2,0,1,Meets
EI9300008ES,2025-02,173,1,0,1,0,Exceeds
EI9300008ES,2025-03,163,7,0,0,2,Exceeds
EI9300008ES,2025-04,164,5,0,0,0,Outstanding
EI9300008ES,2025-05,158,4,0,0,2,Meets
EI9300008ES,2025-06,164,22,3,0,2,Needs Improvement
EI9300008ES,2025-07,153,4,2,1,3,Exceeds
EI9300008ES,2025-08,153,5,1,0,0,Meets
EI9300008ES,2025-09,159,4,3,0,0,Meets
EI9300008ES,2025-10,161,1,0,1,0,Exceeds
EI9300008ES,2025-11,171,6,1,1,0,Exceeds
EI9300008ES,2025-12,142,2,1,1,0,Meets
EI9300008ES,2026-01,161,1,0,0,1,Outstanding
EI1000009ES,2025-02,147,3,0,0,0,Outstanding
EI1000009ES,2025-03,148,7,0,1,0,Exceeds
EI1000009ES,2025-04,162,3,0,0,1,Exceeds
EI1000009ES,2025-05,154,13,1,0,0,Outstanding
EI1000009ES,2025-06,167,9,0,0,2,Exceeds
EI1000009ES,2025-07,159,4,0,0,0,Meets
EI1000009ES,2025-08,152,9,1,0,1,Exceeds
EI1000009ES,2025-09,160,9,1,0,1,Meets
EI1000009ES,2025-10,147,1,0,0,0,Exceeds
EI1000009ES,2025-11,146,1,1,0,3,Needs Improvement
EI1000009ES,2025-12,155,1,1,0,1,Exceeds
EI1000009ES,2026-01,158,4,1,0,3,Needs Improvement
EI9700010ES,2025-02,161,0,0,0,2,Exceeds
EI9700010ES,2025-03,158,4,1,0,1,Meets
EI9700010ES,2025-04,148,1,0,0,1,Exceeds
EI9700010ES,2025-05,162,1,0,0,0,Outstanding
EI9700010ES,2025-06,149,6,0,0,1,Meets
EI9700010ES,2025-07,157,6,1,0,1,Meets
EI9700010ES,2025-08,162,10,0,0,2,Needs Improvement
EI9700010ES,2025-09,148,5,1,1,0,Meets
EI9700010ES,2025-10,143,5,0,1,1,Needs Improvement
EI9700010ES,2025-11,159,3,0,1,1,Exceeds
EI9700010ES,2025-12,157,4,0,0,3,Exceeds
EI9700010ES,2026-01,147,2,0,0,0,Outstanding
EI2400011ES,2025-02,170,5,1,0,2,Exceeds
EI2400011ES,2025-03,162,7,0,1,0,Meets
EI2400011ES,2025-04,163,8,1,0,4,Needs Improvement
EI2400011ES,2025-05,160,8,0,0,2,Exceeds
EI2400011ES,2025-06,156,7,0,1,3,Meets
EI2400011ES,2025-07,155,2,0,1,0,Exceeds
EI2400011ES,2025-08,159,3,1,1,1,Meets
EI2400011ES,2025-09,157,9,0,0,0,Meets
EI2400011ES,2025-10,159,2,0,0,0,Meets
EI2400011ES,2025-11,165,9,1,0,3,Meets
EI2400011ES,2025-12,161,15,1,0,0,Exceeds
EI2400011ES,2026-01,152,7,0,0,0,Exceeds
EI1200012ES,2025-02,158,1,0,0,2,Meets
EI1200012ES,2025-03,167,1,2,0,1,Exceeds
EI1200012ES,2025-04,165,7,0,0,0,Outstanding
EI1200012ES,2025-05,167,7,1,2,2,Meets
EI1200012ES,2025-06,158,6,2,1,0,Meets
EI1200012ES,2025-07,159,20,1,0,0,Meets
EI1200012ES,2025-08,162,8,1,0,1,Exceeds
EI1200012ES,2025-09,161,7,0,0,2,Exceeds
EI1200012ES,2025-10,158,1,0,0,0,Meets
EI1200012ES,2025-11,170,3,0,0,0,Meets
EI1200012ES,2025-12,153,2,2,1,1,Meets
EI1200012ES,2026-01,151,1,0,0,0,Meets
EI9600013ES,2025-02,143,12,2,1,0,Meets
EI9600013ES,2025-03,155,8,0,2,1,Meets
EI9600013ES,2025-04,172,6,0,0,4,Meets
EI9600013ES,2025-05,156,17,0,0,1,Meets
EI9600013ES,2025-06,166,3,0,0,0,Meets
EI9600013ES,2025-07,169,6,1,0,0,Meets
EI9600013ES,2025-08,147,3,0,0,0,Outstanding
EI9600013ES,2025-09,156,10,1,0,2,Meets
EI9600013ES,2025-10,143,1,0,0,0,Exceeds
EI9600013ES,2025-11,164,1,0,1,2,Meets
EI9600013ES,2025-12,162,8,0,1,3,Meets
EI9600013ES,2026-01,161,4,0,0,2,Meets
EI2200014ES,2025-02,160,4,0,2,0,Meets
EI2200014ES,2025-03,152,3,0,0,1,Meets
EI2200014ES,2025-04,153,7,0,0,1,Meets
EI2200014ES,2025-05,147,2,0,0,0,Meets
EI2200014ES,2025-06,165,10,0,0,0,Meets
EI2200014ES,2025-07,153,5,0,0,0,Exceeds
EI2200014ES,2025-08,160,0,1,0,0,Exceeds
EI2200014ES,2025-09,153,5,0,0,1,Outstanding
EI2200014ES,2025-10,143,5,0,0,1,Outstanding
EI2200014ES,2025-11,170,4,0,0,1,Exceeds
EI2200014ES,2025-12,158,1,1,0,1,Meets
EI2200014ES,2026-01,167,4,1,1,1,Exceeds
EI9600015ES,2025-02,153,4,1,0,0,Exceeds
EI9600015ES,2025-03,141,4,0,0,0,Meets
EI9600015ES,2025-04,155,4,1,0,2,Exceeds
EI9600015ES,2025-05,167,6,0,0,0,Meets
EI9600015ES,2025-06,159,3,1,0,0,Meets
EI9600015ES,2025-07,159,4,0,1,3,Meets
EI9600015ES,2025-08,169,2,0,0,1,Meets
EI9600015ES,2025-09,144,10,0,0,1,Outstanding
EI9600015ES,2025-10,167,8,0,0,1,Meets
EI9600015ES,2025-11,172,8,0,1,1,Exceeds
EI9600015ES,2025-12,149,20,1,0,0,Meets
