numero_empleado,periodo,feedback_clientes,reconocimientos_desempeno_merito,apoyo_supervisor,apoyo_equipo
EI0302199ES,2025-02,2,5,5,2
EI0302199ES,2025-03,2,4,2,3
EI0302199ES,2025-04,2,3,4,4
EI0302199ES,2025-05,3,5,5,4
EI0302199ES,2025-06,4,4,1,4
EI0302199ES,2025-07,5,5,5,4
EI0302199ES,2025-08,4,4,4,4
EI0302199ES,2025-09,4,4,4,5
EI0302199ES,2025-10,5,4,4,4
EI0302199ES,2025-11,4,3,3,2
EI0302199ES,2025-12,4,3,3,3
EI0302199ES,2026-01,5,2,3,2
EI2601092ES,2025-02,3,2,4,3
EI2601092ES,2025-03,5,4,3,3
EI2601092ES,2025-04,5,4,5,3
EI2601092ES,2025-05,4,3,4,4
EI2601092ES,2025-06,1,5,5,5
EI2601092ES,2025-07,5,5,4,1
EI2601092ES,2025-08,4,5,4,5
EI2601092ES,2025-09,5,5,2,4
EI2601092ES,2025-10,5,4,2,2
EI2601092ES,2025-11,5,5,4,3
EI2601092ES,2025-12,5,3,2,3
EI2601092ES,2026-01,4,4,3,1
EI9306601ES,2025-02,3,4,2,5
EI9306601ES,2025-03,4,3,4,5
EI9306601ES,2025-04,3,3,4,4
EI9306601ES,2025-05,4,4,5,3
EI9306601ES,2025-06,1,4,5,4
EI9306601ES,2025-07,2,5,2,3
EI9306601ES,2025-08,3,5,4,4
EI9306601ES,2025-09,5,5,3,4
EI9306601ES,2025-10,5,5,4,5
EI9306601ES,2025-11,5,5,5,5
EI9306601ES,2025-12,4,4,5,1
EI9306601ES,2026-01,5,4,2,1
EI0806144ES,2025-02,5,5,2,2
EI0806144ES,2025-03,5,2,4,3
EI0806144ES,2025-04,5,5,4,3
EI0806144ES,2025-05,2,5,2,5
EI0806144ES,2025-06,4,2,5,5
EI0806144ES,2025-07,5,5,4,5
EI0806144ES,2025-08,5,3,4,5
EI0806144ES,2025-09,4,4,5,3
EI0806144ES,2025-10,2,4,1,3
EI0806144ES,2025-11,4,5,4,4
EI0806144ES,2025-12,5,4,4,4
EI0806144ES,2026-01,5,3,4,4
EI1602177ES,2025-02,5,4,2,5
EI1602177ES,2025-03,4,4,5,5
EI1602177ES,2025-04,5,3,3,4
EI1602177ES,2025-05,1,5,4,1
EI1602177ES,2025-06,3,5,2,5
EI1602177ES,2025-07,5,5,5,5
EI1602177ES,2025-08,3,3,5,4
EI1602177ES,2025-09,3,4,5,5
EI1602177ES,2025-10,5,4,4,2
EI1602177ES,2025-11,3,5,5,5
EI1602177ES,2025-12,4,4,5,3
EI1602177ES,2026-01,3,5,4,5
EI2103695ES,2025-02,5,5,2,4
EI2103695ES,2025-03,4,4,4,5
EI2103695ES,2025-04,3,2,3,4
EI2103695ES,2025-05,4,3,5,4
EI2103695ES,2025-06,4,2,4,2
EI2103695ES,2025-07,2,3,4,4
EI2103695ES,2025-08,5,5,5,3
EI2103695ES,2025-09,4,5,4,2
EI2103695ES,2025-10,5,3,4,3
EI2103695ES,2025-11,3,2,4,4
EI2103695ES,2025-12,1,5,3,2
EI2103695ES,2026-01,2,3,3,5
EI9206126ES,2025-02,4,3,3,2
EI9206126ES,2025-03,5,4,2,3
EI9206126ES,2025-04,4,3,3,5
EI9206126ES,2025-05,4,4,3,4
EI9206126ES,2025-06,2,4,5,5
EI9206126ES,2025-07,4,2,4,3
EI9206126ES,2025-08,4,5,4,5
EI9206126ES,2025-09,4,4,4,5
EI9206126ES,2025-10,4,5,5,5
EI9206126ES,2025-11,4,2,4,3
EI9206126ES,2025-12,3,5,5,4
