numero_empleado,titulo,departamento,fecha_ingreso,modalidad_trabajo,salario_bruto_anual_eur
EI1400001ES,Asistente Comercial,Comercial,2014-01-14,Oficina,25306
EI2000002ES,Asistente de Crédito,Crédito,2020-10-01,Híbrido,30434
EI9600003ES,Gerente de Riesgo,Riesgo,1996-09-12,Oficina,98380
EI0600004ES,Ejecutivo Comercial,Comercial,2006-10-31,Oficina,55529
EI1700005ES,Asistente Comercial,Comercial,2017-03-03,Oficina,31382
EI1600006ES,Gerente General,Gerencia,2016-09-12,Híbrido,195315
EI2100007ES,Analista de Operaciones,Operaciones,2021-11-04,Híbrido,36036
EI9300008ES,Director IT,Dirección,1993-11-23,Híbrido,152574
EI1000009ES,Ejecutivo Comercial,Comercial,2010-04-10,Oficina,44916
EI9700010ES,Analista de Riesgo,Riesgo,1997-11-07,Híbrido,43677
EI2400011ES,Gerente de Riesgo,Riesgo,2024-11-21,Oficina,93244
EI1200012ES,Ejecutivo Comercial,Comercial,2012-09-12,Híbrido,35817
EI9600013ES,Soporte IT,IT,1996-11-29,Remoto,33116
EI2200014ES,Ejecutivo Comercial,Comercial,2022-11-09,Híbrido,52158
EI9600015ES,Analista de Operaciones,Operaciones,1996-06-05,Oficina,38219
EI2200016ES,Gerente de Área,Gerencia,2022-07-03,Híbrido,92395
EI2200017ES,Director IT,Dirección,2022-01-05,Híbrido,176676
EI0300018ES,Gerente de Operaciones,Operaciones,2003-12-14,Oficina,82885
EI1000019ES,Ejecutivo Comercial,Comercial,2010-12-11,Oficina,36511
EI2400020ES,Analista RRHH,Talento Humano,2024-05-15,Oficina,40239
EI2400021ES,Asistente Comercial,Comercial,2024-01-10,Oficina,30114
EI9800022ES,Analista de Riesgo,Riesgo,1998-12-30,Híbrido,46309
EI1300023ES,Ejecutivo Comercial,Comercial,2013-11-16,Híbrido,45457
EI9500024ES,Supervisor de Sucursal,Atención al Cliente,1995-04-12,Oficina,43934
EI9700025ES,Arquitecto de Software,IT,1997-01-24,Híbrido,87933
EI1700026ES,Gerente Comercial,Comercial,2017-12-11,Oficina,106675
EI1400027ES,Gerente de Operaciones,Operaciones,2014-05-03,Híbrido,102958
EI9600028ES,Analista de Crédito,Crédito,1996-05-08,Híbrido,58080
EI9700029ES,Gerente de Operaciones,Operaciones,1997-09-07,Híbrido,84668
EI0500030ES,Soporte IT,IT,2005-03-12,Remoto,38856
EI9500031ES,Gerente Comercial,Comercial,1995-11-02,Híbrido,71900
EI9200032ES,Asistente Comercial,Comercial,1992-04-06,Híbrido,26735
EI9300033ES,Gerente IT,IT,1993-11-11,Remoto,117948
EI2100034ES,Cajero,Atención al Cliente,2021-08-11,Oficina,26883
EI1700035ES,Director IT,Dirección,2017-08-24,Remoto,143306
EI2600036ES,Desarrollador,IT,2026-09-01,Híbrido,52985
EI1500037ES,Ejecutivo Comercial,Comercial,2015-06-21,Oficina,39318
EI1100038ES,Asistente de Crédito,Crédito,2011-01-03,Híbrido,26593
EI2000039ES,Analista de Riesgo,Riesgo,2020-09-14,Híbrido,61116
EI0000040ES,Ejecutivo Comercial,Comercial,2000-05-24,Oficina,42333
EI0100041ES,Analista RRHH,Talento Humano,2001-07-29,Híbrido,41909
EI2100042ES,Director de Riesgo,Dirección,2021-05-20,Híbrido,163593
EI1000043ES,Analista de Crédito,Crédito,2010-05-02,Oficina,50974
EI1100044ES,Gerente Comercial,Comercial,2011-04-28,Híbrido,77398
EI1000045ES,Ejecutivo Comercial,Comercial,2010-09-09,Híbrido,40596
EI1700046ES,Especialista RRHH,Talento Humano,2017-02-11,Oficina,53831
EI9400047ES,Soporte IT,IT,1994-08-14,Híbrido,36646
EI1400048ES,Analista de Operaciones,Operaciones,2014-12-12,Oficina,56281
EI1300049ES,Analista de Operaciones,Operaciones,2013-11-24,Híbrido,50105
EI0800050ES,Asistente Comercial,Comercial,2008-07-18,Oficina,28908
EI1100051ES,Gerente de Operaciones,Operaciones,2011-08-22,Oficina,105153
EI9900052ES,Ejecutivo Comercial,Comercial,1999-05-05,Híbrido,57742
EI1500053ES,Director IT,Dirección,2015-06-12,Remoto,171598
EI2100054ES,Asistente Comercial,Comercial,2021-02-19,Oficina,28869
EI2000055ES,Asistente de Crédito,Crédito,2020-01-14,Híbrido,26276
EI1600056ES,Gerente IT,IT,2016-07-25,Remoto,129064
EI1400057ES,Asistente de Plataforma,Atención al Cliente,2014-11-25,Oficina,24599
EI9700058ES,Ejecutivo Comercial,Comercial,1997-11-26,Híbrido,45093
EI1600059ES,Gerente IT,IT,2016-11-01,Remoto,97126
EI1200060ES,Gerente de Área,Gerencia,2012-03-04,Oficina,94029
EI2600061ES,Cajero,Atención al Cliente,2026-08-26,Oficina,23138
EI2300062ES,Asistente de Crédito,Crédito,2023-11-13,Oficina,25003
EI1000063ES,Director de Riesgo,Dirección,2010-04-27,Híbrido,154816
EI1700064ES,Ejecutivo Comercial,Comercial,2017-08-12,Híbrido,53937
EI9900065ES,Gerente Comercial,Comercial,1999-03-24,Híbrido,90748
EI2500066ES,Asistente Comercial,Comercial,2025-08-19,Híbrido,29989
EI0500067ES,Asistente Comercial,Comercial,2005-06-11,Oficina,26462
EI1200068ES,Soporte IT,IT,2012-11-23,Híbrido,36622
EI9200069ES,Analista de Riesgo,Riesgo,1992-10-19,Oficina,52098
EI2100070ES,Gerente de Talento Humano,Talento Humano,2021-07-20,Híbrido,116702
EI0200071ES,Gerente Comercial,Comercial,2002-08-29,Oficina,72043
EI2100072ES,Asistente de Plataforma,Atención al Cliente,2021-07-02,Oficina,29459
EI0400073ES,Analista RRHH,Talento Humano,2004-04-09,Híbrido,42543
EI0900074ES,Ejecutivo Comercial,Comercial,2009-07-10,Oficina,52862
EI9700075ES,Asistente de Crédito,Crédito,1997-10-12,Oficina,32780
EI1400076ES,Director de Riesgo,Dirección,2014-12-01,Híbrido,145204
EI9600077ES,Analista de Riesgo,Riesgo,1996-12-02,Oficina,49452
EI9000078ES,Arquitecto de Software,IT,1990-07-10,Híbrido,74701
EI2200079ES,Gerente de Crédito,Crédito,2022-05-11,Híbrido,101896
EI9300080ES,Gerente de Operaciones,Operaciones,1993-10-19,Híbrido,88992
EI2500081ES,Asistente de Plataforma,Atención al Cliente,2025-05-22,Oficina,29974
EI9800082ES,Asistente Comercial,Comercial,1998-01-24,Híbrido,32444
EI2600083ES,Supervisor de Sucursal,Atención al Cliente,2026-10-15,Oficina,49747
EI0500084ES,Analista de Riesgo,Riesgo,2005-12-09,Oficina,47397
EI1700085ES,Analista de Crédito,Crédito,2017-02-13,Híbrido,35243
EI0000086ES,Asistente de Crédito,Crédito,2000-08-14,Híbrido,33220
EI1400087ES,Gerente de Área,Gerencia,2014-07-02,Híbrido,127771
EI9100088ES,Gerente IT,IT,1991-09-13,Remoto,127234
EI9500089ES,Desarrollador,IT,1995-01-29,Híbrido,71557
EI2200090ES,Gerente de Crédito,Crédito,2022-10-03,Híbrido,104498
EI1300091ES,Analista de Operaciones,Operaciones,2013-03-10,Oficina,37563
EI1100092ES,Gerente de Crédito,Crédito,2011-03-12,Híbrido,75117
EI9200093ES,Soporte IT,IT,1992-05-14,Remoto,44804
