numero_empleado,titulo,departamento,fecha_ingreso,modalidad_trabajo,salario_bruto_anual_eur
EI1400001ES,Asistente Comercial,Comercial,1/14/2014,Oficina,25306
EI2000002ES,Asistente de Credito,Credito,10/1/2020,Hibrido,30434
EI9600003ES,Gerente de Riesgo,Riesgo,9/12/1996,Oficina,98380
EI0600004ES,Ejecutivo Comercial,Comercial,10/31/2006,Oficina,55529
EI1700005ES,Asistente Comercial,Comercial,3/3/2017,Oficina,31382
EI1600006ES,Gerente General,Gerencia,9/12/2016,Hibrido,195315
EI2100007ES,Analista de Operaciones,Operaciones,11/4/2021,Hibrido,36036
EI9300008ES,Director IT,Direccion,11/23/1993,Hibrido,152574
EI1000009ES,Ejecutivo Comercial,Comercial,4/10/2010,Oficina,44916
EI9700010ES,Analista de Riesgo,Riesgo,11/7/1997,Hibrido,43677
EI2400011ES,Gerente de Riesgo,Riesgo,11/21/2024,Oficina,93244
EI1200012ES,Ejecutivo Comercial,Comercial,9/12/2012,Hibrido,35817
EI9600013ES,Soporte IT,IT,11/29/1996,Remoto,33116
EI2200014ES,Ejecutivo Comercial,Comercial,11/9/2022,Hibrido,52158
EI9600015ES,Analista de Operaciones,Operaciones,6/5/1996,Oficina,38219
EI2200016ES,Gerente de Area,Gerencia,7/3/2022,Hibrido,92395
EI2200017ES,Director IT,Direccion,1/5/2022,Hibrido,176676
EI0300018ES,Gerente de Operaciones,Operaciones,12/14/2003,Oficina,82885
EI1000019ES,Ejecutivo Comercial,Comercial,12/11/2010,Oficina,36511
EI2400020ES,Analista RRHH,Talento Humano,5/15/2024,Oficina,40239
EI2400021ES,Asistente Comercial,Comercial,1/10/2024,Oficina,30114
EI9800022ES,Analista de Riesgo,Riesgo,12/30/1998,Hibrido,46309
EI1300023ES,Ejecutivo Comercial,Comercial,11/16/2013,Hibrido,45457
EI9500024ES,Supervisor de Sucursal,Atencion al Cliente,4/12/1995,Oficina,43934
EI9700025ES,Arquitecto de Software,IT,1/24/1997,Hibrido,87933
EI1700026ES,Gerente Comercial,Comercial,12/11/2017,Oficina,106675
EI1400027ES,Gerente de Operaciones,Operaciones,5/3/2014,Hibrido,102958
EI9600028ES,Analista de Credito,Credito,5/8/1996,Hibrido,58080
EI9700029ES,Gerente de Operaciones,Operaciones,9/7/1997,Hibrido,84668
EI0500030ES,Soporte IT,IT,3/12/2005,Remoto,38856
EI9500031ES,Gerente Comercial,Comercial,11/2/1995,Hibrido,71900
EI9200032ES,Asistente Comercial,Comercial,4/6/1992,Hibrido,26735
EI9300033ES,Gerente IT,IT,11/11/1993,Remoto,117948
EI2100034ES,Cajero,Atencion al Cliente,8/11/2021,Oficina,26883
EI1700035ES,Director IT,Direccion,8/24/2017,Remoto,143306
EI2600036ES,Desarrollador,IT,9/1/2026,Hibrido,52985
EI1500037ES,Ejecutivo Comercial,Comercial,6/21/2015,Oficina,39318
EI1100038ES,Asistente de Credito,Credito,1/3/2011,Hibrido,26593
EI2000039ES,Analista de Riesgo,Riesgo,9/14/2020,Hibrido,61116
EI0000040ES,Ejecutivo Comercial,Comercial,5/24/2000,Oficina,42333
EI0100041ES,Analista RRHH,Talento Humano,7/29/2001,Hibrido,41909
EI2100042ES,Director de Riesgo,Direccion,5/20/2021,Hibrido,163593
EI1000043ES,Analista de Credito,Credito,5/2/2010,Oficina,50974
EI1100044ES,Gerente Comercial,Comercial,4/28/2011,Hibrido,77398
EI1000045ES,Ejecutivo Comercial,Comercial,9/9/2010,Hibrido,40596
EI1700046ES,Especialista RRHH,Talento Humano,2/11/2017,Oficina,53831
EI9400047ES,Soporte IT,IT,8/14/1994,Hibrido,36646
EI1400048ES,Analista de Operaciones,Operaciones,12/12/2014,Oficina,56281
EI1300049ES,Analista de Operaciones,Operaciones,11/24/2013,Hibrido,50105
EI0800050ES,Asistente Comercial,Comercial,7/18/2008,Oficina,28908
EI1100051ES,Gerente de Operaciones,Operaciones,8/22/2011,Oficina,105153
EI9900052ES,Ejecutivo Comercial,Comercial,5/5/1999,Hibrido,57742
EI1500053ES,Director IT,Direccion,6/12/2015,Remoto,171598
EI2100054ES,Asistente Comercial,Comercial,2/19/2021,Oficina,28869
EI2000055ES,Asistente de Credito,Credito,1/14/2020,Hibrido,26276
EI1600056ES,Gerente IT,IT,7/25/2016,Remoto,129064
EI1400057ES,Asistente de Plataforma,Atencion al Cliente,11/25/2014,Oficina,24599
EI9700058ES,Ejecutivo Comercial,Comercial,11/26/1997,Hibrido,45093
EI1600059ES,Gerente IT,IT,11/1/2016,Remoto,97126
EI1200060ES,Gerente de Area,Gerencia,3/4/2012,Oficina,94029
