numero_empleado,titulo,modalidad_trabajo,salario_eur,fecha_de_entrada
IE0200001,Director de Area,Oficina,160041,2002
IE0900002,Gerente de Area,Hibrido,106389,2009
IE0600003,Director de Area,Hibrido,135698,2006
IE1700004,Director General,Oficina,225956,2017
IE0300005,Director de Area,Hibrido,133758,2003
IE2300006,Gerente de Area,Hibrido,121817,2023
IE9600007,Gerente de Area,Hibrido,104641,1996
IE2300008,Director de Area,Hibrido,166965,2023
IE9000009,Director de Area,Hibrido,147549,1990
IE9500010,Director General,Hibrido,246831,1995
IE2500011,Gerente de Area,Oficina,126845,2025
IE9800012,Gerente de Area,Hibrido,116656,1998
IE1700013,Gerente de Area,Hibrido,92260,2017
IE9700014,Gerente de Area,Oficina,110605,1997
IE0700015,Gerente de Area,Hibrido,122112,2007
IE0800016,Director de Area,Oficina,166512,2008
IE9200017,Director de Area,Hibrido,129330,1992
IE0500018,Director de Area,Hibrido,158145,2005
IE9500019,Director de Area,Oficina,140657,1995
IE9700020,Gerente de Area,Hibrido,101536,1997
IE2200021,Director General,Hibrido,189344,2022
IE2300022,Director de Area,Hibrido,128909,2023
IE0700023,Director de Area,Hibrido,122361,2007
IE0000024,Director de Area,Hibrido,120962,2000
IE9600025,Director de Area,Oficina,174309,1996
IE0500026,Director General,Oficina,191339,2005
IE0400027,Director de Area,Oficina,161915,2004
IE0000028,Director General,Oficina,200265,2000
IE0000029,Director de Area,Hibrido,129649,2000
IE0000030,Director General,Hibrido,238831,2000
IE9200031,Director General,Hibrido,244373,1992
IE1400032,Gerente de Area,Oficina,111184,2014
IE9700033,Gerente de Area,Hibrido,121987,1997
IE0700034,Director General,Oficina,230469,2007
IE2500035,Director de Area,Oficina,142795,2025
IE1500036,Director General,Hibrido,182970,2015
IE2600037,Gerente de Area,Hibrido,121157,2026
IE1600038,Director General,Hibrido,230481,2016
IE1800039,Director General,Hibrido,209175,2018
IE0600040,Director General,Hibrido,236632,2006
IE9700041,Director de Area,Hibrido,147910,1997
IE9000042,Director General,Hibrido,180226,1990
IE2600043,Director de Area,Oficina,138464,2026
IE0500044,Director General,Hibrido,236984,2005
IE9700045,Director de Area,Hibrido,156135,1997
IE1400046,Director General,Hibrido,234324,2014
IE0200047,Gerente de Area,Hibrido,95711,2002
IE1600048,Director General,Oficina,197921,2016
IE9200049,Director General,Oficina,219988,1992
IE0600050,Gerente de Area,Hibrido,107635,2006
IE9300051,Director de Area,Oficina,135472,1993
IE2100052,Director General,Hibrido,231585,2021
IE9200053,Director General,Oficina,192889,1992
IE1000054,Gerente de Area,Oficina,110714,2010
IE0900055,Director de Area,Oficina,164534,2009
IE0400056,Analista de Riesgo,Hibrido,43451,2004
IE9500057,Gerente de Riesgo,Hibrido,70579,1995
IE2100058,Analista de Riesgo,Oficina,47787,2021
IE0800059,Gerente de Riesgo,Hibrido,95974,2008
IE9000060,Analista de Riesgo,Hibrido,39606,1990
IE1700061,Analista de Riesgo,Remoto,50692,2017
IE0300062,Gerente de Riesgo,Hibrido,85203,2003
IE0900063,Analista de Riesgo,Oficina,49397,2009
IE1600064,Analista de Riesgo,Hibrido,42794,2016
IE1600065,Analista de Riesgo,Oficina,47201,2016
IE9200066,Analista de Riesgo,Oficina,39809,1992
IE9300067,Gerente de Riesgo,Oficina,95915,1993
IE0400068,Analista de Riesgo,Hibrido,44214,2004
IE1100069,Gerente de Riesgo,Oficina,97151,2011
IE9300070,Analista de Riesgo,Hibrido,46128,1993
IE2400071,Analista de Riesgo,Hibrido,47447,2024
IE1800072,Analista de Riesgo,Oficina,48738,2018
IE1700073,Gerente de Riesgo,Oficina,98453,2017
IE1900074,Gerente de Riesgo,Oficina,93167,2019
IE2300075,Analista de Riesgo,Hibrido,51671,2023
IE9300076,Analista de Riesgo,Oficina,51240,1993
IE2500077,Analista de Riesgo,Remoto,37103,2025
IE2100078,Analista de Riesgo,Hibrido,53532,2021
IE9000079,Analista de Riesgo,Remoto,49049,1990
IE0100080,Gerente de Riesgo,Hibrido,90604,2001
IE9500081,Analista de Riesgo,Remoto,35940,1995
IE1000082,Gerente de Riesgo,Oficina,71449,2010
