numero_empleado,CBI_Q1,CBI_Q2,CBI_Q3,CBI_Q4,CBI_Q5,CBI_Q6,CBI_Q7,CBI_Q8,CBI_Q9,CBI_Q10,CBI_Q11,CBI_Q12,CBI_Q13,CBI_Q14,CBI_Q15,CBI_Q16,CBI_Q17,CBI_Q18,CBI_Q19
IE9804748,A menudo,A menudo,A menudo,A menudo,A veces,Raramente,Raramente,Nunca,A veces,Raramente,A veces,Raramente,A veces,Nunca,A menudo,A menudo,A menudo,Nunca,Raramente
IE9501200,A veces,Nunca,A menudo,Siempre,Siempre,Nunca,A veces,Siempre,A veces,Nunca,A veces,Nunca,A veces,A menudo,Siempre,Raramente,A menudo,Raramente,A veces
IE0105223,Raramente,Raramente,Siempre,Nunca,A veces,A menudo,A veces,A veces,A veces,A veces,Raramente,A veces,A menudo,A veces,Nunca,Siempre,Siempre,Raramente,A menudo
IE0204548,A menudo,Raramente,A menudo,Nunca,A veces,A veces,Siempre,Nunca,A veces,A menudo,Raramente,Siempre,A veces,A menudo,A veces,Siempre,Raramente,Raramente,Nunca
IE1001863,A veces,A menudo,Siempre,A veces,A menudo,A veces,A veces,Nunca,Siempre,A veces,Raramente,A menudo,Raramente,Nunca,A veces,A menudo,Siempre,A menudo,A menudo
IE2303215,Raramente,Siempre,Raramente,A veces,A veces,Nunca,A veces,A veces,Raramente,Nunca,Siempre,Raramente,A veces,A veces,A menudo,Raramente,A menudo,A menudo,Nunca
IE2500231,A menudo,Raramente,A menudo,Siempre,A veces,A veces,A menudo,A menudo,Siempre,Nunca,A menudo,A veces,A veces,Raramente,Raramente,A veces,Raramente,Siempre,A veces
IE0700034,A menudo,A veces,Raramente,A veces,A menudo,A veces,Nunca,A veces,A veces,A veces,Raramente,A menudo,Raramente,Siempre,A veces,A menudo,Raramente,Raramente,A veces
IE2603472,A menudo,Raramente,Raramente,A menudo,Siempre,Raramente,A veces,A menudo,Siempre,A veces,Raramente,Raramente,A veces,A menudo,A veces,A veces,Raramente,A veces,A veces
IE1603723,Raramente,A veces,Nunca,A menudo,A menudo,Nunca,Raramente,Siempre,A veces,Nunca,A veces,A menudo,A veces,A menudo,A menudo,Siempre,A veces,A veces,A veces
IE2300945,Siempre,A menudo,A menudo,Nunca,A veces,Nunca,Siempre,A menudo,A veces,Nunca,A veces,A menudo,Siempre,Raramente,A menudo,A veces,Siempre,A veces,A veces
IE1201303,Nunca,A veces,A veces,A menudo,Raramente,A veces,A menudo,A veces,A veces,A menudo,Siempre,A menudo,A menudo,A menudo,Raramente,Raramente,A menudo,A veces,Nunca
IE9300372,A veces,A veces,Siempre,A veces,A veces,Siempre,Raramente,A menudo,Raramente,Raramente,A veces,A menudo,A menudo,A menudo,Raramente,Raramente,A veces,A veces,A veces
IE1500933,A veces,A menudo,Raramente,A menudo,A menudo,A veces,A veces,A veces,A veces,A veces,Nunca,A veces,Raramente,A veces,Siempre,A menudo,A menudo,A menudo,A veces
IE1003910,A veces,A veces,A menudo,A menudo,A menudo,A veces,A veces,A veces,Raramente,A veces,Raramente,Raramente,A menudo,Siempre,Siempre,A veces,Nunca,A veces,A veces
IE2301515,Raramente,A menudo,A menudo,A menudo,A veces,A menudo,Raramente,Siempre,A veces,A menudo,Siempre,Nunca,Siempre,A veces,Siempre,A veces,A veces,Raramente,Siempre
IE9003455,Nunca,Raramente,A veces,A menudo,A veces,Raramente,Siempre,Raramente,Raramente,Siempre,Raramente,A veces,A menudo,A menudo,Siempre,A veces,A veces,Siempre,A veces
IE0105014,A veces,Raramente,Siempre,Raramente,Raramente,A menudo,Siempre,Raramente,A veces,Siempre,Nunca,A menudo,Raramente,Raramente,A veces,Siempre,A menudo,A menudo,A veces
IE9000009,A menudo,A menudo,A menudo,Raramente,A veces,Raramente,A veces,Raramente,Raramente,Raramente,Nunca,A veces,A veces,A menudo,A veces,A veces,Raramente,A menudo,Raramente
IE1102104,Nunca,A menudo,Nunca,Siempre,A veces,A menudo,Raramente,A veces,Raramente,A menudo,A veces,A veces,Nunca,A menudo,A menudo,A menudo,A veces,Raramente,A menudo
IE1801631,Siempre,A menudo,A menudo,A veces,Nunca,Raramente,Nunca,A menudo,A veces,A veces,Siempre,Raramente,A veces,Raramente,Nunca,A menudo,A veces,Nunca,Nunca
IE0602147,Raramente,A veces,Nunca,A menudo,A menudo,Raramente,A veces,Raramente,A menudo,Siempre,A menudo,Siempre,A veces,A veces,A veces,Raramente,Raramente,A veces,Siempre
IE0003253,Raramente,A veces,A menudo,Nunca,A veces,A menudo,Raramente,Siempre,Siempre,A veces,Nunca,A menudo,A menudo,Siempre,Siempre,A veces,A menudo,A veces,A veces
IE0000590,A menudo,Raramente,A menudo,Siempre,A veces,A veces,A veces,A veces,A veces,Nunca,A veces,Raramente,Siempre,A menudo,Nunca,A veces,Siempre,A veces,Nunca
