numero_empleado,mes,horas_trabajadas,ausencias_justificadas,ausencias_no_justificadas,rating_desempeno
IE0200001,2025-03,161,0,0,Meets
IE0200001,2025-04,176,1,1,Meets
IE0200001,2025-05,184,0,0,Exceeds
IE0200001,2025-06,163,1,1,Meets
IE0200001,2025-07,166,4,0,Needs Improvement
IE0200001,2025-08,166,1,0,Meets
IE0200001,2025-09,171,0,0,Outstanding
IE0200001,2025-10,159,0,1,Meets
IE0200001,2025-11,196,1,1,Meets
IE0200001,2025-12,143,1,0,Meets
IE0200001,2026-01,194,2,0,Meets
IE0200001,2026-02,167,1,0,Meets
IE0900002,2025-03,154,0,1,Meets
IE0900002,2025-04,157,0,0,Meets
IE0900002,2025-05,165,1,2,Needs Improvement
IE0900002,2025-06,160,0,0,Meets
IE0900002,2025-07,161,0,0,Meets
IE0900002,2025-08,180,0,1,Meets
IE0900002,2025-09,146,0,0,Exceeds
IE0900002,2025-10,197,0,0,Exceeds
IE0900002,2025-11,144,0,0,Exceeds
IE0900002,2025-12,165,0,0,Meets
IE0900002,2026-01,172,0,0,Meets
IE0900002,2026-02,167,0,1,Meets
IE0600003,2025-03,164,1,0,Meets
IE0600003,2025-04,188,2,0,Meets
IE0600003,2025-05,186,0,1,Meets
IE0600003,2025-06,159,0,1,Needs Improvement
IE0600003,2025-07,179,0,0,Meets
IE0600003,2025-08,164,1,0,Meets
IE0600003,2025-09,159,1,0,Meets
IE0600003,2025-10,157,0,1,Exceeds
IE0600003,2025-11,158,1,0,Meets
IE0600003,2025-12,183,0,0,Exceeds
IE0600003,2026-01,156,0,1,Meets
IE0600003,2026-02,150,0,0,Exceeds
IE1700004,2025-03,157,0,0,Exceeds
IE1700004,2025-04,161,0,1,Meets
IE1700004,2025-05,193,2,0,Needs Improvement
IE1700004,2025-06,198,0,0,Exceeds
IE1700004,2025-07,167,2,0,Meets
IE1700004,2025-08,172,1,0,Meets
IE1700004,2025-09,173,0,0,Meets
IE1700004,2025-10,155,0,0,Exceeds
IE1700004,2025-11,184,2,1,Needs Improvement
IE1700004,2025-12,166,0,1,Meets
IE1700004,2026-01,170,0,0,Exceeds
IE1700004,2026-02,161,1,0,Exceeds
IE0300005,2025-03,170,1,0,Meets
IE0300005,2025-04,184,1,0,Meets
IE0300005,2025-05,171,3,0,Needs Improvement
IE0300005,2025-06,166,1,0,Meets
IE0300005,2025-07,145,0,0,Exceeds
IE0300005,2025-08,189,1,0,Meets
IE0300005,2025-09,176,1,0,Meets
IE0300005,2025-10,166,0,0,Exceeds
IE0300005,2025-11,164,2,0,Meets
IE0300005,2025-12,194,0,0,Exceeds
IE0300005,2026-01,157,0,0,Meets
IE0300005,2026-02,188,0,0,Meets
IE2300006,2025-03,162,0,0,Meets
IE2300006,2025-04,173,0,0,Meets
IE2300006,2025-05,162,0,0,Exceeds
IE2300006,2025-06,176,1,0,Meets
IE2300006,2025-07,186,0,0,Exceeds
IE2300006,2025-08,164,3,0,Meets
IE2300006,2025-09,161,0,0,Exceeds
IE2300006,2025-10,166,0,0,Meets
IE2300006,2025-11,186,1,1,Needs Improvement
IE2300006,2025-12,161,0,0,Meets
IE2300006,2026-01,182,0,0,Exceeds
IE2300006,2026-02,177,0,1,Meets
IE9600007,2025-03,159,0,0,Meets
IE9600007,2025-04,166,0,0,Meets
IE9600007,2025-05,151,0,0,Exceeds
IE9600007,2025-06,169,0,1,Meets
IE9600007,2025-07,181,1,0,Exceeds
IE9600007,2025-08,177,2,1,Needs Improvement
IE9600007,2025-09,186,2,0,Needs Improvement
IE9600007,2025-10,168,0,1,Meets
IE9600007,2025-11,171,0,0,Meets
IE9600007,2025-12,175,1,0,Meets
IE9600007,2026-01,175,0,0,Exceeds
