numero_empleado,mes,feedback,reconocimiento,apoyo_supervisor,apoyo_equipo
IE2202659,2025-03,5,4,5,5
IE2202659,2025-04,1,5,3,1
IE2202659,2025-05,4,5,5,4
IE2202659,2025-06,4,5,5,5
IE2202659,2025-07,4,5,2,5
IE2202659,2025-08,3,5,4,2
IE2202659,2025-09,5,5,3,4
IE2202659,2025-10,4,4,3,4
IE2202659,2025-11,5,5,1,5
IE2202659,2025-12,5,4,3,5
IE2202659,2026-01,2,4,5,5
IE2202659,2026-02,4,2,5,4
IE1305336,2025-03,4,4,5,4
IE1305336,2025-04,5,4,4,4
IE1305336,2025-05,4,5,4,2
IE1305336,2025-06,5,5,2,5
IE1305336,2025-07,5,4,5,1
IE1305336,2025-08,4,3,3,3
IE1305336,2025-09,4,4,4,5
IE1305336,2025-10,4,4,5,5
IE1305336,2025-11,5,5,5,3
IE1305336,2025-12,5,3,4,5
IE1305336,2026-01,5,3,4,5
IE1305336,2026-02,4,4,4,5
IE0404153,2025-03,4,4,4,4
IE0404153,2025-04,4,4,5,3
IE0404153,2025-05,3,5,4,2
IE0404153,2025-06,5,2,5,4
IE0404153,2025-07,4,4,3,5
IE0404153,2025-08,2,4,5,3
IE0404153,2025-09,3,3,3,4
IE0404153,2025-10,4,3,4,4
IE0404153,2025-11,5,2,5,3
IE0404153,2025-12,4,3,4,5
IE0404153,2026-01,3,3,2,3
IE0404153,2026-02,5,4,4,4
IE0700656,2025-03,5,5,3,5
IE0700656,2025-04,5,4,4,4
IE0700656,2025-05,3,5,4,4
IE0700656,2025-06,5,3,1,5
IE0700656,2025-07,4,5,4,1
IE0700656,2025-08,5,4,5,5
IE0700656,2025-09,3,4,4,4
IE0700656,2025-10,5,4,5,1
IE0700656,2025-11,4,4,4,5
IE0700656,2025-12,5,5,4,1
IE0700656,2026-01,5,4,5,4
IE0700656,2026-02,2,2,3,3
IE9803963,2025-03,4,5,4,5
IE9803963,2025-04,5,3,4,5
IE9803963,2025-05,4,5,4,5
IE9803963,2025-06,5,5,1,2
IE9803963,2025-07,5,5,1,2
IE9803963,2025-08,4,5,4,3
IE9803963,2025-09,2,4,4,2
IE9803963,2025-10,3,4,3,4
IE9803963,2025-11,5,2,3,5
IE9803963,2025-12,5,4,4,3
IE9803963,2026-01,4,3,5,4
IE9803963,2026-02,4,3,3,2
IE9403275,2025-03,3,4,5,4
IE9403275,2025-04,5,4,4,2
IE9403275,2025-05,5,2,5,4
IE9403275,2025-06,3,3,4,4
IE9403275,2025-07,4,5,4,2
IE9403275,2025-08,2,3,3,3
IE9403275,2025-09,3,3,5,5
IE9403275,2025-10,3,5,4,5
IE9403275,2025-11,2,4,5,3
IE9403275,2025-12,4,1,3,5
IE9403275,2026-01,2,5,2,4
IE9403275,2026-02,4,1,3,3
IE1801727,2025-03,5,5,4,2
IE1801727,2025-04,4,3,2,4
IE1801727,2025-05,4,2,4,3
IE1801727,2025-06,3,4,5,4
IE1801727,2025-07,2,5,2,4
IE1801727,2025-08,4,5,1,4
IE1801727,2025-09,3,5,3,5
IE1801727,2025-10,4,4,4,3
IE1801727,2025-11,5,2,1,3
IE1801727,2025-12,5,5,5,2
IE1801727,2026-01,4,5,5,5
IE1801727,2026-02,2,2,1,3
IE1002255,2025-03,5,3,4,3
IE1002255,2025-04,1,5,5,4
IE1002255,2025-05,4,5,3,3
IE1002255,2025-06,3,3,4,5
IE1002255,2025-07,5,4,5,3
IE1002255,2025-08,5,3,4,5
IE1002255,2025-09,4,5,4,2
IE1002255,2025-10,5,4,4,5
IE1002255,2025-11,3,4,4,2
IE1002255,2025-12,4,4,1,3
IE1002255,2026-01,4,3,3,4
IE1002255,2026-02,4,4,3,3
IE9905442,2025-03,2,5,5,5
IE9905442,2025-04,4,2,4,3
IE9905442,2025-05,4,3,4,5
IE9905442,2025-06,5,4,3,5
IE9905442,2025-07,4,5,5,3
IE9905442,2025-08,4,4,4,4
IE9905442,2025-09,4,3,4,3
IE9905442,2025-10,3,5,4,5
IE9905442,2025-11,4,5,1,4
IE9905442,2025-12,3,2,3,3
IE9905442,2026-01,3,3,4,4
IE9905442,2026-02,4,3,3,4
IE1204706,2025-03,3,4,5,4
IE1204706,2025-04,3,4,3,3
IE1204706,2025-05,4,5,4,4
IE1204706,2025-06,3,4,4,4
IE1204706,2025-07,2,2,5,4
IE1204706,2025-08,4,4,4,5
IE1204706,2025-09,4,5,5,5
IE1204706,2025-10,4,4,1,3
IE1204706,2025-11,5,5,5,5
IE1204706,2025-12,2,2,4,5
IE1204706,2026-01,1,4,4,4
IE1204706,2026-02,3,1,2,5
IE9203700,2025-03,4,5,4,3
IE9203700,2025-04,3,2,4,4
IE9203700,2025-05,4,3,1,5
IE9203700,2025-06,4,5,4,5
IE9203700,2025-07,5,5,5,4
IE9203700,2025-08,4,5,3,5
IE9203700,2025-09,2,1,5,4
IE9203700,2025-10,5,4,4,1
IE9203700,2025-11,1,4,5,3
IE9203700,2025-12,5,4,4,4
IE9203700,2026-01,4,1,2,4
IE9203700,2026-02,4,4,4,4
IE0704379,2025-03,3,4,4,4
IE0704379,2025-04,2,3,4,4
IE0704379,2025-05,4,4,4,4
IE0704379,2025-06,2,3,5,5
IE0704379,2025-07,4,2,4,5
IE0704379,2025-08,5,2,5,3
IE0704379,2025-09,1,4,4,5
IE0704379,2025-10,4,3,4,4
IE0704379,2025-11,5,4,5,3
IE0704379,2025-12,5,3,1,4
IE0704379,2026-01,3,3,5,3
IE0704379,2026-02,4,3,4,4
IE9101784,2025-03,4,5,4,5
IE9101784,2025-04,4,5,4,4
IE9101784,2025-05,4,2,2,5
IE9101784,2025-06,4,5,4,2
IE9101784,2025-07,4,5,4,5
IE9101784,2025-08,3,5,3,1
IE9101784,2025-09,4,4,5,5
